,open,high,low,close,simple_return,log_return,cum_return,equity_curve,rolling_peak,drawdown,SMA_20,SMA_50,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,SMA_signal,SMA_position,SMA_return,SMA_equity,RSI_signal,RSI_position,RSI_return,RSI_equity,MACD_signal_bin,MACD_position,MACD_return,MACD_equity
2007-03-08,1.3178,1.3182,1.3117,1.313,-0.003491196114147,-0.0034973045606345,0.0148400061833353,1.0148400061833354,1.0232648013603336,-0.008233250245487,1.313425,,49.24078091106275,1.3147254570274651,1.3109170390417186,0.003808417985746493,0.00470138578681381,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0011795539645125
2007-03-09,1.313,1.3159,1.3087,1.3114,-0.0012185833968012,-0.0012193264732771,0.0136033390013907,1.0136033390013908,1.0232648013603336,-0.0094418007402373,1.3139699999999999,,45.53376906318086,1.3142138482540089,1.3109528139275173,0.0032610343264916075,0.004413315494749369,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0011795539645125
2007-03-12,1.3126,1.3199,1.3109,1.3189,0.0057190788470338,0.0057027870023201,0.0194002164167563,1.0194002164167564,1.0232648013603336,-0.0037767202960949,1.315085,,55.03875968992231,1.314934794676469,1.3115414943773307,0.003393300299138202,0.0042093124556271365,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0011795539645125
2007-03-13,1.3188,1.3221,1.3156,1.3195,0.000454924558344,0.0004548211115396,0.0198639666099855,1.0198639666099856,1.0232648013603336,-0.0033235138605637,1.3158750000000001,,55.38461538461517,1.315637133957012,1.3121310133123432,0.003506120644668931,0.004068674093435495,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0011795539645125
2007-03-14,1.3196,1.3244,1.3176,1.3224,0.0021978021978021,0.0021953905634356,0.0221054258772601,1.0221054258772602,1.0232648013603336,-0.0011330160888287,1.31635,,59.25233644859805,1.3166775748867026,1.3128916789929104,0.0037858958937921905,0.004012118453506834,0,0.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,0.0,1.0011795539645125
2007-03-15,1.3222,1.325,1.3193,1.3237,0.0009830611010284,0.0009825782129106,0.0231102179625901,1.0231102179625902,1.0232648013603336,-0.0001510688118441,1.316835,,57.08661417322835,1.317757947981056,1.313692295363806,0.004065652617250004,0.004022825286255468,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,0.0,0.0,1.0011795539645125
2007-03-16,1.3237,1.3339,1.3231,1.3315,0.0058925738460375,0.0058752805342617,0.0291389704745703,1.0291389704745704,1.0291389704745704,0.0,1.317725,,61.2788632326819,1.3198721098301243,1.3150113845961167,0.004860725234007601,0.004190405275805895,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0058925738460375,1.0070790784193915
2007-03-19,1.3316,1.3325,1.3279,1.3302,-0.0009763424708973,-0.000976819403666,0.0281341783892403,1.0281341783892404,1.0291389704745704,-0.0009763424708973,1.3184600000000002,,55.99999999999995,1.3214610160101052,1.3161364672186266,0.005324548791478589,0.004417233978940434,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0009763424708973,1.0060958243435785
2007-03-20,1.3304,1.3322,1.3271,1.3317,0.001127649977447,0.0011270146577785,0.0292935538723135,1.0292935538723136,1.0292935538723136,0.0,1.31936,,58.74524714828903,1.323036244316243,1.3172893214987285,0.005746922817514433,0.004683171746655234,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.001127649977447,1.0072303482772091
2007-03-21,1.3317,1.3389,1.3289,1.338,0.0047307952241495,0.0047196401800744,0.0341629309012205,1.0341629309012206,1.0341629309012206,0.0,1.320565,,67.63636363636365,1.3253383605752824,1.318823445832156,0.0065149147431264876,0.005049520345949484,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0047307952241495,1.0119953487984574
