,open,high,low,close,simple_return,log_return,cum_return,equity_curve,rolling_peak,drawdown,SMA_20,SMA_50,RSI_14,signal,position,trade,strategy_return,strategy_equity,buy_hold
2008-07-11,1.5784,1.5945,1.5764,1.5937,0.0096933603649265,0.0096466811571823,0.2317978049157525,1.2317978049157523,1.2363580151491729,-0.011953322334955477,1.567895,1.560208,71.15768463073854,1,1.0,0.0,0.0096933603649265,1.0850308411698661,1.2317978049157605
2008-07-14,1.5894,1.5934,1.584,1.5904,-0.0020706531969629,-0.0020727999632783,0.2292471788529917,1.2292471788529915,1.2363580151491729,-0.01399922434681119,1.5700800000000001,1.561022,67.10929519918294,1,1.0,0.0,-0.0020706531969629,1.0827841185897944,1.229247178853
2008-07-15,1.5902,1.6035,1.5866,1.5911,0.0004401408450702,0.000440044011501,0.2297882207450923,1.2297882207450923,1.2363580151491729,-0.013565245132175215,1.57211,1.561782,63.860830527497235,1,1.0,0.0,0.0004401408450702,1.0832606961067792,1.2297882207451005
2008-07-16,1.5912,1.5947,1.58,1.5819,-0.005782163283263,-0.0057989447092769,0.2226773844489105,1.2226773844489105,1.2363580151491729,-0.019268971953106385,1.573585,1.56263,53.846153846153946,1,1.0,0.0,-0.005782163283263,1.0769971058835488,1.222677384448919
2008-07-17,1.5819,1.5893,1.5783,1.5858,0.0024653897212212,0.0024623556337646,0.2256917607049005,1.2256917607049005,1.2363580151491729,-0.016851087757276773,1.57537,1.5635400000000002,53.639417693169214,1,1.0,0.0,0.0024653897212212,1.0796523234781792,1.225691760704909
2008-07-18,1.5856,1.5885,1.5804,1.5846,-0.0007567158531971,-0.000757002307157,0.2247642603184418,1.224764260318442,1.2363580151491729,-0.017595052125224362,1.576565,1.5642719999999999,55.31177829099315,1,1.0,0.0,-0.0007567158531971,1.0788353334490621,1.2247642603184503
2008-07-21,1.5841,1.5931,1.5828,1.5924,0.0049223778871638,0.0049103025950205,0.230793012830422,1.230793012830422,1.2363580151491729,-0.012759283733565144,1.57862,1.565038,57.190265486725764,1,1.0,0.0,0.0049223778871638,1.084145768638323,1.2307930128304305
2008-07-22,1.5924,1.5942,1.5757,1.579,-0.0084149711127857,-0.00845057687052,0.2204359251816354,1.2204359251816357,1.2363580151491729,-0.02106688584231297,1.579725,1.5656800000000002,44.69214437367301,0,1.0,0.0,-0.0084149711127857,1.0750227133131827,1.2204359251816441
2008-07-23,1.5786,1.5797,1.567,1.5684,-0.0067131095630145,-0.0067357438374654,0.212243005101252,1.212243005101252,1.2363580151491729,-0.021262672465144423,1.579825,1.566088,49.29742388758776,0,0.0,1.0,-0.0002,1.0748077087705201,1.2122430051012607
2008-07-24,1.5684,1.5713,1.5627,1.5676,-0.0005100739607242,-0.0005102040927,0.2116246715102798,1.21162467151028,1.2363580151491729,-0.021262672465144423,1.579455,1.5665520000000002,48.36065573770496,0,0.0,0.0,-0.0,1.0748077087705201,1.2116246715102885
